"title","revenue","release_date","genre_ids","vote_average"
"Avatar","2923706026","2009-12-15","[28, 12, 14, 878]","7.583"
"Avengers: Endgame","2799439100","2019-04-24","[12, 878, 28]","8.247"
"Avatar: The Way of Water","2320250281","2022-12-14","[878, 12, 28]","7.618"
"Titanic","2264162353","1997-11-18","[18, 10749]","7.907"
"Star Wars: The Force Awakens","2068223624","2015-12-15","[12, 28, 878]","7.3"
"Avengers: Infinity War","2052415039","2018-04-25","[12, 28, 878]","8.242"
"Spider-Man: No Way Home","1921847111","2021-12-15","[28, 12, 878]","7.955"
"Inside Out 2","1698641117","2024-06-11","[16, 12, 35, 18, 10751]","7.568"
"Jurassic World","1671537444","2015-06-06","[28, 12, 878, 53]","6.691"
"The Lion King","1662020819","2019-07-12","[12, 18, 10751, 16]","7.1"
"The Avengers","1518815515","2012-04-25","[878, 28, 12]","7.724"
"Furious 7","1515400000","2015-04-01","[28, 53, 80]","7.232"
"Top Gun: Maverick","1488732821","2022-05-21","[28, 18]","8.195"
"Frozen II","1453683476","2019-11-20","[10751, 16, 12, 35, 14]","7.3"
"Barbie","1445638421","2023-07-19","[35, 12]","6.999"
"Avengers: Age of Ultron","1405403694","2015-04-22","[28, 12, 878]","7.274"
"The Super Mario Bros. Movie","1362000000","2023-04-05","[16, 10751, 12, 14, 35]","7.642"
"Black Panther","1349926083","2018-02-13","[28, 12, 878]","7.38"
"Harry Potter and the Deathly Hallows: Part 2","1341511219","2011-07-12","[14, 12]","8.1"
"Deadpool & Wolverine","1338073382","2024-07-24","[28, 35, 878]","7.7"
"Star Wars: The Last Jedi","1332698830","2017-12-13","[12, 28, 878]","6.8"
"Jurassic World: Fallen Kingdom","1310466296","2018-06-06","[28, 12, 878, 53]","6.542"
"Frozen","1274219009","2013-11-20","[16, 10751, 12, 14]","7.2"
"Beauty and the Beast","1266115964","2017-03-16","[10751, 14, 10749]","7"
"Incredibles 2","1242805359","2018-06-14","[28, 12, 16, 10751]","7.462"
"The Fate of the Furious","1236000000","2017-04-12","[28, 80, 53]","6.9"
"Iron Man 3","1215577205","2013-04-18","[28, 12, 878]","6.93"
"Minions","1159457503","2015-06-17","[10751, 16, 12, 35]","6.4"
"Captain America: Civil War","1155046416","2016-04-27","[12, 28, 878]","7.445"
"Aquaman","1152028393","2018-12-07","[28, 12, 14]","6.9"
"Spider-Man: Far From Home","1131927996","2019-06-28","[28, 12, 878]","7.4"
"Captain Marvel","1131416446","2019-03-06","[28, 12, 878]","6.813"
"Transformers: Dark of the Moon","1123794079","2011-06-28","[28, 878, 12]","6.2"
"The Lord of the Rings: The Return of the King","1118888979","2003-12-17","[12, 14, 28]","8.483"
"Skyfall","1108594176","2012-10-24","[28, 12, 53]","7.2"
"Transformers: Age of Extinction","1104054072","2014-06-25","[878, 28, 12]","5.9"
"The Dark Knight Rises","1081041287","2012-07-17","[28, 80, 18, 53]","7.783"
"Joker","1078958629","2019-10-01","[80, 53, 18]","8.144"
"Star Wars: The Rise of Skywalker","1074144248","2019-12-18","[12, 28, 878]","6.3"
"Toy Story 4","1073841394","2019-06-19","[10751, 12, 16, 35, 14]","7.487"
"Toy Story 3","1067316101","2010-06-16","[16, 10751, 35]","7.8"
"Pirates of the Caribbean: Dead Man's Chest","1065700000","2006-07-06","[12, 14, 28]","7.364"
"Rogue One: A Star Wars Story","1056057273","2016-12-14","[28, 12, 878]","7.494"
"Aladdin","1054300000","2019-05-22","[12, 14, 10749, 10751]","7.1"
"Pirates of the Caribbean: On Stranger Tides","1045700000","2011-05-15","[12, 28, 14]","6.555"
"Despicable Me 3","1034800131","2017-06-15","[28, 16, 35, 10751, 12]","6.5"
"Finding Dory","1028600000","2016-06-16","[12, 16, 35, 10751]","7"
"Alice in Wonderland","1025467110","2010-03-03","[10751, 14, 12]","6.639"
"Zootopia","1023784195","2016-02-11","[16, 12, 10751, 35]","7.8"
"The Hobbit: An Unexpected Journey","1021103568","2012-12-12","[12, 14, 28]","7.357"
"The Mason Witch Returns","1016000000",NULL,"[27, 53]","10"
"The Dark Knight","1004558444","2008-07-16","[18, 28, 80, 53]","8.517"
"Jurassic World Dominion","1001978080","2022-06-01","[12, 28, 878]","6.7"
"Jumanji: Welcome to the Jungle","995339117","2017-12-09","[12, 35, 14]","6.8"
"Harry Potter and the Philosopher's Stone","976475550","2001-11-16","[12, 14]","7.907"
"Despicable Me 2","970766005","2013-06-26","[16, 35, 10751]","6.931"
"Despicable Me 4","969264325","2024-06-20","[16, 10751, 35, 878]","7.084"
"The Jungle Book","966550600","2016-04-07","[10751, 12, 18, 14]","6.866"
"Pirates of the Caribbean: At World's End","961000000","2007-05-19","[12, 14, 28]","7.258"
"The Hobbit: The Desolation of Smaug","958400000","2013-12-11","[14, 12, 28]","7.575"
"The Hobbit: The Battle of the Five Armies","956019788","2014-12-10","[28, 12, 14]","7.3"
"Doctor Strange in the Multiverse of Madness","955775804","2022-05-04","[14, 28, 12]","7.3"
"Harry Potter and the Deathly Hallows: Part 1","954305868","2010-11-17","[12, 14]","7.747"
"Oppenheimer","952000000","2023-07-19","[18, 36]","8.08"
"Finding Nemo","940335536","2003-05-30","[16, 10751]","7.82"
"Minions: The Rise of Gru","940203765","2022-06-29","[16, 35, 10751, 12]","7.3"
"Harry Potter and the Order of the Phoenix","938212738","2007-07-08","[12, 14]","7.677"
"Shrek 2","935454538","2004-05-19","[16, 10751, 35, 14, 12]","7.3"
"Harry Potter and the Half-Blood Prince","933959197","2009-07-15","[12, 14]","7.688"
"The Lord of the Rings: The Two Towers","926287400","2002-12-18","[12, 14, 28]","8.399"
"Star Wars: Episode I - The Phantom Menace","924317558","1999-05-19","[12, 28, 878]","6.6"
"Jurassic Park","920100000","1993-06-11","[12, 878]","7.951"
"Bohemian Rhapsody","918355943","2018-10-24","[10402, 18]","7.983"
"The Battle at Lake Changjin","902540935","2021-09-30","[18, 10752]","5.941"
"Harry Potter and the Goblet of Fire","895921036","2005-11-16","[12, 14]","7.807"
"Spider-Man 3","894983373","2007-05-01","[28, 12, 878]","6.433"
"Ice Age: Dawn of the Dinosaurs","886686817","2009-06-26","[16, 35, 10751, 12]","6.8"
"Spectre","880707597","2015-10-26","[28, 12, 53]","6.551"
"Spider-Man: Homecoming","880166924","2017-07-05","[28, 12, 878, 18]","7.334"
"Ice Age: Continental Drift","877244782","2012-06-27","[16, 35, 12, 10751]","6.4"
"Harry Potter and the Chamber of Secrets","876688482","2002-11-13","[12, 14]","7.716"
"The Secret Life of Pets","875457937","2016-06-18","[12, 35, 16, 10751]","6.3"
"Batman v Superman: Dawn of Justice","874362803","2016-03-23","[28, 12, 14]","5.972"
"The Lord of the Rings: The Fellowship of the Ring","871368364","2001-12-18","[12, 14, 28]","8.4"
"Wolf Warrior 2","870322670","2017-07-27","[10752, 28, 53]","6.6"
"The Hunger Games: Catching Fire","865011746","2013-11-15","[12, 28, 878]","7.428"
"Guardians of the Galaxy Vol. 2","863756051","2017-04-19","[878, 12, 28]","7.617"
"Black Panther: Wakanda Forever","859102154","2022-11-09","[28, 12, 878]","7.088"
"Inside Out","857611174","2015-06-17","[16, 10751, 12, 18, 35]","7.9"
"Venom","856085151","2018-09-28","[878, 28]","6.833"
"Thor: Ragnarok","855301806","2017-10-02","[28, 12, 878]","7.589"
"Star Wars: Episode III - Revenge of the Sith","850000000","2005-05-17","[12, 28, 878]","7.4"
"Guardians of the Galaxy Vol. 3","845600000","2023-05-03","[878, 12, 28]","7.962"
"Transformers: Revenge of the Fallen","836303693","2009-06-19","[878, 28, 12]","6.2"
"The Twilight Saga: Breaking Dawn - Part 2","829747654","2012-11-13","[12, 14, 18, 10749]","6.461"
"Inception","825532764","2010-07-15","[28, 878, 12]","8.37"
"Wonder Woman","823970682","2017-05-30","[28, 12, 14]","7.222"
"Hi, Mom","822049668","2021-02-12","[18, 35, 14]","7.058"
"Spider-Man","821708551","2002-05-01","[28, 878]","7.303"
"Independence Day","817400891","1996-06-25","[28, 12, 878]","6.889"
